Protocol,Architecture,Contention,BlockSize,Throughput
pbft,OXII,400,400,400.00
pbft,OXII,400,400,1466.67
pbft,OXII,400,400,1066.67
pbft,OXII,400,400,1600.00
pbft,OXII,400,400,1600.00
pbft,OXII,400,400,1600.00
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,400.00
pbft,OXII,400,400,0.00
pbft,OXII,400,400,4533.33
pbft,OXII,400,400,1600.00
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,1333.33
pbft,OXII,400,400,1466.67
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,800.00
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,933.33
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,800.00
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,666.67
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,266.67
pbft,OXII,400,400,3066.67
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,933.33
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,400.00
pbft,OXII,400,400,2666.67
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,1600.00
pbft,OXII,400,400,933.33
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,933.33
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,266.67
pbft,OXII,400,400,2933.33
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2666.67
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,933.33
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,0.00
pbft,OXII,400,400,3066.67
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,1600.00
pbft,OXII,400,400,1066.67
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,800.00
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,1600.00
pbft,OXII,400,400,1200.00
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,400.00
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,666.67
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,1200.00
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2933.33
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,666.67
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,400.00
pbft,OXII,400,400,2666.67
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,0.00
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,133.33
pbft,OXII,400,400,2933.33
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,400.00
pbft,OXII,400,400,2666.67
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2933.33
pbft,OXII,400,400,133.33
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,1066.67
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,266.67
pbft,OXII,400,400,2933.33
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,1600.00
pbft,OXII,400,400,666.67
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,0.00
pbft,OXII,400,400,2933.33
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,0.00
pbft,OXII,400,400,3066.67
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,666.67
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,266.67
pbft,OXII,400,400,2933.33
pbft,OXII,400,400,1600.00
pbft,OXII,400,400,1066.67
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,1066.67
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2666.67
pbft,OXII,400,400,0.00
pbft,OXII,400,400,3066.67
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,933.33
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,266.67
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,800.00
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,1466.67
pbft,OXII,400,400,933.33
pbft,OXII,400,400,0.00
pbft,OXII,400,400,3866.67
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,800.00
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,800.00
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,0.00
pbft,OXII,400,400,3200.00
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,1066.67
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,1600.00
pbft,OXII,400,400,1066.67
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,1066.67
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,1600.00
pbft,OXII,400,400,933.33
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,1600.00
pbft,OXII,400,400,933.33
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,800.00
pbft,OXII,400,400,2666.67
pbft,OXII,400,400,133.33
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,0.00
pbft,OXII,400,400,2933.33
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,1066.67
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,1600.00
pbft,OXII,400,400,800.00
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,933.33
pbft,OXII,400,400,2666.67
pbft,OXII,400,400,666.67
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,666.67
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,266.67
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,133.33
pbft,OXII,400,400,2666.67
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,800.00
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,800.00
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,933.33
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,666.67
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,1066.67
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,1600.00
pbft,OXII,400,400,933.33
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,1466.67
pbft,OXII,400,400,1466.67
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,666.67
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,800.00
pbft,OXII,400,400,0.00
pbft,OXII,400,400,4000.00
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,1066.67
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,800.00
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,266.67
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2933.33
pbft,OXII,400,400,666.67
pbft,OXII,400,400,2666.67
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,666.67
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,400.00
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,0.00
pbft,OXII,400,400,2933.33
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,2000.00
pbft,OXII,400,400,933.33
pbft,OXII,400,400,2666.67
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,666.67
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,933.33
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,533.33
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,1866.67
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,933.33
pbft,OXII,400,400,2533.33
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,666.67
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,1733.33
pbft,OXII,400,400,666.67
pbft,OXII,400,400,2400.00
pbft,OXII,400,400,400.00
pbft,OXII,400,400,2800.00
pbft,OXII,400,400,800.00
pbft,OXII,400,400,2266.67
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,400.00
pbft,OXII,400,400,2666.67
pbft,OXII,400,400,2133.33
pbft,OXII,400,400,800.00
