Protocol,Architecture,Contention,BlockSize,Throughput
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,33.33
cheapbft,OX,100,100,0.00
